year,from,to,count
2022,Trojan_War,Ancient_Rome,66
2022,Table_(furniture),Ancient_Rome,44
2022,Imperial_Roman_army,Roman_army_of_the_late_Republic,66
2022,Alexander_the_Great,Iranian_studies,23
2022,Eunuch,Syro-Hittite_states,83
2022,Ancient_Rome,Fall_of_the_Western_Roman_Empire,2058
2022,Mount_Olympus,Greek_language,113
2022,Argon,Greek_language,30
2022,History_of_geography,Greek_language,20
2022,Achilles,Greek_language,86
2022,Tanagra,Greek_language,37
2022,Odysseus,Greek_language,72
2022,Aqua_Claudia,Caligula,36
2022,January_24,Caligula,42
2022,Timeline_of_LGBT_history,Caligula,22
2022,Pompey,Battle_of_the_Lycus,74
2022,Roman_triumph,Victory_parade,176
2022,Pompeii_(film),Roman_Empire,74
2022,History_of_Milan,Roman_Empire,12
2022,Crusades,Roman_Empire,29
2022,AD_117,Roman_Empire,51
2022,Germanicus,Mark_Antony,127
2022,Battle_of_Actium,Mark_Antony,3480
2022,Claudia_Marcella_Major,Mark_Antony,26
2022,History_of_libraries,Library_of_Alexandria,172
2022,Cleopatra,Library_of_Alexandria,497
2022,Conflagration,Library_of_Alexandria,214
2022,Mediterranean_Sea,Trieste,55
2022,Aelius_Gallus,Augustus,44
2022,Arius_Didymus,Augustus,80
2022,Forum_of_Augustus,Augustus,120
2022,Hellenistic_period,Roman_emperor,76
2022,Ancient_Macedonians,Greek_Dark_Ages,10
2022,List_of_rulers_of_Parthian_sub-kingdoms,Parthian_Empire,54
2022,Artaxiad_dynasty,Parthian_Empire,67
2022,Assassination_of_Julius_Caesar,Cassius_Dio,99
2022,Ficus,Mediterranean_Sea,56
2022,Algeria,Mediterranean_Sea,522
2022,Salema_porgy,Mediterranean_Sea,12
2022,Greek_language,Ancient_Macedonian_language,170
2022,Augustus,Rhodes,56
2022,List_of_coupled_siblings,List_of_coupled_cousins,547
2022,Vonones_I,Kingdom_of_Armenia_(antiquity),11
2022,Roman–Persian_Wars,Kingdom_of_Armenia_(antiquity),112
2022,Battle_of_Actium,Galley,640
2022,Hippocrates,Classical_Greece,599
2022,Ancient_Egypt,Social_change,301
2022,Greek_language,French_language,50
2022,List_of_Roman_client_rulers,Cunobeline,51
2022,Alexander_the_Great,Diogenes,86
2022,Augustus,Pax_Romana,5539
2022,Tomb_of_Alexander_the_Great,Ptolemy_I_Soter,1061
2022,Mattel,Cleopatra,161
2022,Library_of_Alexandria,Hellenistic_art,41
2022,Burlesque,Vaudeville,164
2022,Death_of_Alexander_the_Great,Tetraplegia,59
2022,Mauretania,Atlas_Mountains,471
2022,Greek_language,Homeric_Greek,62
2022,Roman_Egypt,Crisis_of_the_Third_Century,79
2022,Department_of_Egyptian_Antiquities_of_the_Louvre,Nefertiti,13
2022,Second_Punic_War,Roman_Republic,1481
2022,Aachen,Roman_Republic,44
2022,Appian_Way,Giovanni_Battista_Piranesi,175
2022,Render_unto_Caesar,Julius_Caesar,23
2022,Cleopatra_(1963_film),Julius_Caesar,740
2022,History_of_Rome,Julius_Caesar,481
2022,List_of_last_words,Julius_Caesar,174
2022,Parthian_Empire,Hatra,86
2022,Siege_of_Alexandria_(47_BC),Battle_of_the_Nile_(47_BC),357
2022,Troglodyte,Troglodytae,2078
2022,Shuah,Troglodytae,67
2022,Wars_of_the_Diadochi,Ptolemaic_Kingdom,420
2022,Ptolemaic_dynasty,Egypt,52
2022,List_of_history_journals,Historiography,39
2022,Ptolemaic_army,Cleruchy,40
2022,Artemisia_II_of_Caria,List_of_coupled_siblings,310
2022,Roman_Republic,Marcus_Furius_Camillus,60
2022,Biology,Ancient_Egypt,72
2022,Relief,Ancient_Egypt,42
2022,Civilization_state,Ancient_Egypt,10
2022,First_Epistle_of_John,Ephesus,105
2022,Herostratus,Ephesus,217
2022,Ptolemy_I_Soter,Eurydice_of_Egypt,1034
2022,Ancient_Egypt,Book_of_the_Dead,187
2022,Cleopatra,Death_of_Alexander_the_Great,61739
2022,Alchemy,Roman_Egypt,367
2022,Saints_Sergius_and_Bacchus_Church,Roman_Egypt,45
2022,List_of_coupled_siblings,Halga,243
2022,Alexander_the_Great,Satrap,793
2022,Death_of_Alexander_the_Great,Crypt,131
2022,Albanian_lek,Alexander_the_Great,114
2022,Alexandria_Bucephalous,Alexander_the_Great,131
2022,History_of_Egypt,Alexander_the_Great,443
2022,Alexandros,Alexander_the_Great,268
2022,List_of_cultural_depictions_of_Cleopatra,Leonor_Varela,79
2022,Cleopatra_(1963_film),Star!_(film),328
2022,Augustus,Sodales_Augustales,51
2022,Alexander_the_Great,Kerman_province,55
2022,Chemistry,Egyptian_language,62
2022,Senet,Egyptian_language,12
2022,Nefertiti,Neferneferuaten,3628
2022,Octavia_the_Younger,Gaius_Claudius_Marcellus_(consul_50_BC),2133
2022,Hellenistic_period,Mithridates_VI_Eupator,50
2022,Evangelical_counsels,Eunuch,36
2022,Kingdom_of_Armenia_(antiquity),Orontid_dynasty,591
2022,Alexandrian_war,Siege_of_Alexandria_(47_BC),296
2022,Siege_of_Alexandria_(47_BC),Heptastadion,42
2022,Ptolemaic_dynasty,Arsinoe_of_Macedon,215
2022,Egyptian_cobra,Wadjet,119
2022,Last_words_of_Julius_Caesar,Assassination_of_Julius_Caesar,166
2022,Koine_Greek,Proto-Greek_language,292
2022,Cleopatra,Quintus_Labienus,49
2022,Battle_of_Pharsalus,Gnaeus_Domitius_Calvinus,340
2022,Cleopatra,List_of_female_hereditary_rulers,1417
2022,Football,Ancient_Rome,78
2022,Roman_lead_pipe_inscription,Ancient_Rome,25
